,long,lat,Area,Began,Ended,Soil,hourly_precip_mean,hourly_precip_std,hourly_runoff_mean,hourly_runoff_std,Real?,sand,silt,clay
1328,146.657688,-19.789652,457221.4061,2010-03-07,3/28/2011,2.0,1.3232707715360448e-05,9.420923015568404e-05,5.727979441871867e-06,2.3907723516458645e-05,False,0.651,0.292,0.057
1329,147.327051,-41.421667,4650.101341,2010-03-22,3/28/2011,92.0,6.05897766945418e-05,0.0002118598495144,4.779593382409075e-06,1.122204412240535e-05,False,0.45,0.17,0.38
1330,99.277049,8.666488,33575.42711,2010-03-23,4/10/2011,4.0,1.4874768567096908e-05,5.035533831687644e-05,1.1808097042376176e-06,2.1943858428130625e-06,False,0.478,0.466,0.056
1331,-97.21921,48.678802,46208.31987,2009-04-01,5/24/2011,16.0,0.0001895288005471,0.0003642679657787,1.1330861525493674e-05,1.1858373909490185e-05,False,0.509,0.289,0.202
1332,53.673384,51.447982,213195.154,2010-04-01,4/19/2011,45.0,4.38094593846472e-06,5.650088132824749e-05,5.9258463807054795e-06,4.047160837217234e-05,False,0.528,0.289,0.183
1333,-40.119065,-9.679788,288020.184,2010-05-08,5/11/2011,49.0,2.5390676455572248e-05,6.456633127527311e-05,5.950024615231086e-07,1.4200913938111626e-06,False,0.742,0.195,0.063
1334,-73.014084,45.626388,5274.093784,2010-05-04,6/9/2011,,0.0001374191779177,0.0003542718477547,7.081917283358052e-05,1.5580431863781996e-05,False,,,
1335,-99.473227,43.537631,23537.97611,2010-06-04,7/29/2011,45.0,0.0001498261553933,0.0008681137114763,7.078549515426857e-06,8.775846799835563e-05,False,0.528,0.289,0.183
1336,125.208244,8.306337,71700.82554,2010-06-05,6/21/2011,0.0,0.0002237237931694,0.0006139156175777,5.471573967952281e-05,0.0002290709380758,False,,,
1337,89.046349,22.564135,19191.5923,2010-07-21,7/29/2011,31.0,0.0002678292512428,0.0005804750835523,3.400164132472128e-05,0.0001208871253766,False,0.003,0.246,0.751
1338,-52.640299,-30.342984,129795.3547,2010-07-23,7/29/2011,4.0,0.0004736368719022,0.0011008540168404,0.000194632448256,0.0003305338905192,False,0.478,0.466,0.056
1339,102.822185,17.0382,96785.77237,2010-08-05,1/9/2012,4.0,0.0006234592874534,0.0009474442340433,0.0002680138568393,0.0006258888170123,False,0.478,0.466,0.056
1340,105.501152,12.004283,13466.62488,2010-08-10,11/15/2011,2.0,0.0004157752264291,0.0010832038242369,7.44343051337637e-05,0.0003655816544778,False,0.651,0.292,0.057
1341,86.242215,26.375467,40941.50814,2010-08-15,10/2/2011,8.0,0.0005116442916914,0.0008043214911594,0.0001630768092582,0.0003583228099159,False,0.102,0.447,0.451
1342,92.181547,26.589671,50117.37505,2010-08-15,9/8/2011,43.0,0.0006471126107499,0.0009637119947001,0.0004311243246775,0.0006560260662809,False,0.349,0.266,0.385
1343,69.066891,25.012345,32667.16426,2010-08-12,11/1/2011,98.0,9.429715282749385e-05,0.0004069497226737,2.671510856089298e-06,4.341604289948009e-05,False,0.76,0.09,0.15
1344,33.667825,1.660439,37846.34665,2010-08-20,9/8/2011,25.0,9.056863927980884e-05,0.0003572842688299,4.6478755393764e-05,0.0001487305271439,False,0.16,0.08,0.76
1345,73.953105,22.30208,33056.09211,2010-08-25,9/13/2011,8.0,0.000157228889293,0.0003075019922107,2.1907282643951476e-05,4.5314376620808616e-05,False,0.102,0.447,0.451
1346,86.002162,20.651119,27751.686,2010-09-05,10/2/2011,40.0,0.0002374622854404,0.0004841136105824,2.918321843026206e-05,0.0001134016638388,False,0.8,0.15,0.05
1347,27.971908,39.104531,32113.07717,2010-10-08,10/10/2011,53.0,6.013138045091182e-05,0.0001745882909744,2.5746705887286225e-06,7.227350124594523e-06,False,0.061,0.867,0.072
1348,-100.833256,18.280192,311970.5277,2010-10-10,11/1/2011,84.0,2.002116889343597e-05,9.569322719471528e-05,3.6462108255364e-05,6.649130227742717e-05,False,0.75,0.21,0.04
1349,-0.945865,5.584658,9829.517622,2010-10-26,10/29/2011,4.0,0.0002290767879458,0.0007112962775863,5.7900531828636304e-05,0.000189958314877,False,0.478,0.466,0.056
1350,40.167169,2.180851,41010.10795,2010-11-09,11/15/2011,98.0,2.492535895726178e-05,8.710979454917833e-05,8.791548111730664e-08,5.373299245547969e-07,False,0.76,0.09,0.15
1351,34.383649,2.570315,22324.62878,2010-11-09,12/20/2011,27.0,1.9503781004459597e-05,0.0001395738945575,8.043246452871244e-06,1.896363028208725e-05,False,0.28,0.16,0.56
1352,-73.939857,4.640889,57194.29883,2010-11-09,12/22/2011,49.0,0.0008481794502586,0.0011105133453384,0.0004199800896458,0.0006632987060584,False,0.742,0.195,0.063
1353,100.378,1.698541,11294.19453,2010-11-27,11/30/2011,61.0,0.0005165615002624,0.0007410864345729,0.0001763030304573,0.0002675399882718,False,0.9,0.05,0.05
1354,149.372327,-29.458424,45037.95271,2010-11-27,12/22/2011,86.0,3.563196150935255e-05,0.0001520140067441,2.666906482318155e-07,1.2135512861277675e-06,False,0.105,0.478,0.417
1355,30.06063,-29.208414,15384.57223,2010-11-27,12/2/2011,53.0,0.0001480906357755,0.000581435218919,2.7136164135299623e-05,0.0001594100758666,False,0.061,0.867,0.072
1356,36.116761,0.385821,9789.330741,2010-11-29,12/22/2011,76.0,8.371141120733228e-06,3.0382427212316543e-05,1.393235561408801e-05,2.0410989236552268e-05,False,0.74,0.16,0.1
1357,39.037723,-6.917042,5900.638172,2010-12-20,12/22/2011,,3.547955566318706e-05,6.408434273907915e-05,1.7522661721613988e-07,3.304147071503394e-07,False,,,
1358,110.236252,-7.379525,2457.469245,2010-12-18,1/4/2012,,0.0004205223522149,0.0007495537865906,0.0003176313184667,0.0003163162618875,False,,,
1359,99.423816,8.772281,11666.13898,2011-01-01,1/9/2012,4.0,0.0002696572919376,0.0007002808852121,7.254338561324403e-05,0.0001719704014249,False,0.478,0.466,0.056
1360,-43.489292,-19.463714,416574.7119,2011-01-01,1/9/2012,25.0,0.0003655188484117,0.000834128819406,0.0001113544058171,0.0003499051672406,False,0.16,0.08,0.76
1361,178.075692,-17.784045,4927.679444,2011-01-22,2/6/2012,,0.0004202966229058,0.0011110828490927,0.000165794728673,0.0006028768839314,False,,,
1362,146.646094,-21.717611,761154.1145,2011-01-22,3/7/2012,86.0,0.0004354798293206,0.0010758298449218,4.9437734560342506e-05,0.0003502958861645,False,0.105,0.478,0.417
1363,112.50974,-7.482774,7754.356055,2011-01-27,1/29/2012,43.0,0.0004210743354633,0.0007408203673548,0.0001915062894113,0.0003591369604691,False,0.349,0.266,0.385
1364,24.257634,42.55503,47136.83865,2011-02-01,2/6/2012,49.0,8.401274840252881e-07,1.0257951544190291e-05,1.0957394806609956e-05,1.0162299986404832e-05,False,0.742,0.195,0.063
1365,21.005618,39.867742,9250.996919,2011-02-03,2/6/2012,,0.0001092018574126,0.0002276697341585,4.052358781336807e-05,3.312963235657662e-05,False,,,
1366,106.658074,-6.318737,12053.81563,2011-02-12,2/14/2012,4.0,0.0001725200854707,0.0004326526832301,6.06878602411598e-05,9.888168278848752e-05,False,0.478,0.466,0.056
1367,125.264627,8.223924,39825.28289,2011-02-20,2/27/2012,4.0,0.0004196561058051,0.0011522740824148,0.0001869233383331,0.0005005294224247,False,0.478,0.466,0.056
1368,12.807442,9.859668,50438.08646,2011-02-20,2/27/2012,40.0,0.0,0.0,1.560579448778299e-06,3.212939873264986e-06,False,0.8,0.15,0.05
1369,103.415798,-2.585677,194382.9534,2011-02-20,2/27/2012,4.0,0.0001141149332397,0.0004001939378213,5.480384425027296e-05,0.000123307981994,False,0.478,0.466,0.056
1370,8.698624,35.116281,41623.96204,2011-02-25,2/27/2012,12.0,8.829575381241739e-05,0.0002722065837588,3.3633309612923767e-06,2.7588510420173407e-05,False,0.372,0.252,0.376
1371,34.461539,31.458294,594.2513947,2011-03-05,3/7/2012,74.0,8.168044018930233e-08,7.808061468494998e-07,0.0,0.0,False,0.068,0.708,0.224
1372,-79.495063,-0.5987,39793.05691,2011-03-02,3/26/2012,58.0,0.0003818312543444,0.0008643901092,0.0002789745340123,0.0007166056893765,False,0.16,0.39,0.45
1373,123.278367,13.628836,5045.753493,2011-03-27,3/30/2012,53.0,0.0004304324102122,0.0004573048790916,5.490124021889642e-05,9.818079706747084e-05,False,0.061,0.867,0.072
1374,-72.582111,19.443322,35151.92733,2011-04-09,4/26/2012,6.0,3.245863990741782e-05,0.0001160489409812,3.1002693958726013e-06,1.08832909972989e-05,False,0.288,0.582,0.13
1375,36.214118,-2.441234,117773.2181,2011-04-10,4/26/2012,6.0,8.076920494204387e-05,0.0003350264742039,1.4036049833521249e-05,8.641096064820886e-05,False,0.288,0.582,0.13
